일시,지점,폭염여부(1/0),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(1/0),열대야(1/0),자외선지수(단계)
2023-07-31,화천(555),1,34,32.6,27.1,23.4,92,1,0,1
2023-07-31,제천(221),1,33.3,32.6,25.5,22.8,90.8,1,0,2
2023-07-31,봉화(271),0,31.6,30.5,24.5,22.2,90.5,1,0,3
2023-07-31,흑산도(169),0,31.6,29.7,26.2,23.7,89.6,1,0,4
2023-07-31,의정부(532),1,34.7,32.9,27.9,24,89,1,0,3
2023-07-31,파주(99),1,34,32.6,27.2,23.1,88.1,1,0,3
2023-07-31,압해도(789),1,34,32.2,27.8,24.1,88,1,0,4
2023-07-31,이천(203),1,34.6,33.5,27.8,24.2,87.6,1,0,2
2023-07-31,영양(801),1,33.6,33.2,26.7,22.3,87,1,0,4
2023-07-31,광주(156),1,34.7,34.3,28.6,24,86.8,1,1,4
2023-07-31,영주(272),1,33.2,32.5,26.7,22.7,86.3,1,0,4
2023-07-31,계룡(636),1,33,31.9,26.3,21.8,86,1,0,3
2023-07-31,해남(261),1,34.4,33.5,27.7,23.9,85.1,1,0,4
2023-07-31,안성(516),0,32.9,31.8,27.6,23.8,85,1,0,3
2023-07-31,공주(612),1,33.1,32.5,27.2,23.6,85,1,0,3
2023-07-31,영암(731),1,34.7,34.1,28,23.3,85,1,0,4
2023-07-31,가평조종(505),1,34.1,33.3,27.6,23.2,85,1,0,3
2023-07-31,고령(812),1,34.2,34.6,27.6,22.1,85,1,0,4
2023-07-31,금산(238),0,32.6,31.9,26.6,22.5,84.3,1,0,4
2023-07-31,울릉도(115),0,32.6,31.3,27.6,25.7,84.1,1,0,4
2023-07-31,평택(551),1,33.2,32.4,28.2,24.8,84,1,0,3
2023-07-31,김제(737),1,34.1,33.3,28.1,23.7,84,1,1,4
2023-07-31,증평(623),1,33.3,32,27.8,23.6,84,1,0,4
2023-07-31,서천(614),1,33,31.9,27.3,23.3,84,1,0,2
2023-07-31,괴산(603),1,33.3,32.8,26.7,22.8,84,1,0,4
2023-07-31,철원(95),1,33.3,32.4,27.4,22.8,83.5,1,0,1
2023-07-31,영월(121),1,33.2,33,26.1,23.3,83.4,1,0,1
2023-07-31,보은(226),0,32.5,31.4,27.1,22.7,83.4,1,0,4
2023-07-31,태안(627),1,33.8,33,27.9,24.6,83,1,0,3
2023-07-31,단양(601),1,34.3,33.9,27,23.9,83,1,0,3
2023-07-31,담양(706),1,35.3,35.5,28.7,23.3,83,1,0,4
2023-07-31,장성(730),1,34,33.7,27.6,22.9,83,1,0,4
2023-07-31,구례(709),1,34.7,34.5,27.7,22.6,83,1,0,4
2023-07-31,곡성(768),1,34.9,34.9,27.5,22.3,83,1,0,4
2023-07-31,고창(172),1,34.2,33.3,27.5,22.9,82.9,1,0,4
2023-07-31,장수(248),0,31.9,31.6,25.3,21.3,82.8,1,0,4
2023-07-31,동두천(98),1,33.8,32.5,27.9,23.9,82.6,1,0,3
2023-07-31,고흥(262),1,33,32.4,26.8,22.8,82.5,1,0,4
2023-07-31,장흥(260),1,34.7,34.2,27.7,22.7,82.5,1,0,4
2023-07-31,태백(216),0,31.1,31,24.5,20,82.5,1,0,1
2023-07-31,인제(211),1,33.7,33.2,26.9,23.7,82.4,1,0,1
2023-07-31,군산(140),1,33.4,32.4,27.9,23.7,82.4,1,0,3
2023-07-31,진도군ASOS(268),1,33.1,32.3,27.7,24,82.3,1,0,4
2023-07-31,당진(616),0,32.6,32.5,27.7,24.6,82,1,0,3
2023-07-31,오산(550),1,34,33.5,27.9,24.4,82,1,0,3
2023-07-31,옥천(604),1,33.8,33.2,28.3,24.3,82,1,1,4
2023-07-31,여주(548),1,33.3,32.4,27.4,24.2,82,1,0,4
2023-07-31,순천시(712),1,35.2,33.9,28.8,23.6,82,1,0,4
2023-07-31,청양(618),1,33.4,32.5,27.1,23.5,82,1,0,2
2023-07-31,양주(598),1,35,34.3,27.9,23.3,82,1,0,3
2023-07-31,나주(710),1,34.3,34.2,27.9,23.3,82,1,0,4
2023-07-31,완주(734),1,33.9,33.3,27.9,23.1,82,1,0,4
2023-07-31,의왕(445),1,33.5,32.6,27.1,22.7,82,1,0,3
2023-07-31,보성(732),0,32.9,32.5,26.5,22.4,82,1,0,4
2023-07-31,김천(822),1,34.7,34.4,28,22.3,82,1,0,4
2023-07-31,안산(545),1,33.3,32.8,27.1,22.3,82,1,0,3
2023-07-31,음성(619),0,32.7,31.7,26.1,22.2,82,1,0,2
2023-07-31,함양군(264),1,35.3,35.3,28,21.8,82,1,0,4
2023-07-31,영광군(252),1,33.8,32.8,27.5,23.3,81.6,1,0,4
2023-07-31,충주(127),1,33.5,32.7,27.2,23.5,81.3,1,0,4
2023-07-31,부여(236),1,33.5,32.6,27.8,24.1,81.1,1,0,2
2023-07-31,함평(754),1,34.4,33.8,28.3,24.3,81,1,0,4
2023-07-31,시흥(565),1,33.4,32.9,28.1,24,81,1,0,4
2023-07-31,삼천포(907),1,33.3,32.6,27,22.7,81,1,0,4
2023-07-31,진안(703),0,32.3,32.5,25.9,21,81,1,0,4
2023-07-31,천안(232),0,32.6,31.7,27.5,24.2,80.8,1,0,3
2023-07-31,세종(239),0,32.7,31.8,27.5,24.1,80.8,1,0,3
2023-07-31,보령(235),1,33,32,27.6,24.3,80.6,1,0,2
2023-07-31,북춘천(93),1,34.9,34.3,28.5,24.6,80.3,1,0,1
2023-07-31,완도(170),1,33.5,32.8,28.3,25.4,80.1,1,0,4
2023-07-31,의성(278),1,34,33.9,28.1,22.9,80.1,1,0,4
2023-07-31,예산(628),1,33,32.7,28.2,25.3,80,1,0,3
2023-07-31,횡성(536),1,34,34,26.7,23.9,80,1,0,1
2023-07-31,논산(615),1,34.1,33.7,28.2,23.9,80,1,0,4
2023-07-31,칠곡(825),1,34.4,34.5,29,23.6,80,1,0,4
2023-07-31,연천청산(652),1,33.7,33.1,27.8,23.6,80,1,0,3
2023-07-31,군위(823),1,34.5,34.1,28.3,23.2,80,1,0,4
2023-07-31,고성(918),1,34.7,34.2,27.7,22.8,80,1,0,4
2023-07-31,무주(701),0,32.9,32.7,26.9,22.5,80,1,0,4
2023-07-31,함안(920),1,35.2,35.1,27.5,22.4,80,1,0,4
2023-07-31,부안(243),1,34,33.4,28.3,23.8,79.6,1,0,4
2023-07-31,문경(273),1,33.7,33.2,27.9,23.6,79.6,1,0,4
2023-07-31,영덕(277),1,33.3,32.4,27,23.3,79.5,1,0,4
2023-07-31,목포(165),1,33,32.1,28.5,24.8,79.4,1,1,4
2023-07-31,상주(137),1,34,33.3,28.4,24.1,79.4,1,0,4
2023-07-31,강진군(259),1,34.4,34.2,28.9,24,79.4,1,0,4
2023-07-31,임실(244),1,33,32.7,26.7,22.1,79.4,1,0,4
2023-07-31,추풍령(135),0,32.3,31.6,26.8,22.1,79.3,1,0,4
2023-07-31,거창(284),0,32.9,33.2,26.7,21.8,79.3,1,0,4
2023-07-31,청송군(276),1,33.7,34.2,26.7,23.1,79.1,1,0,4
2023-07-31,원주(114),0,32.5,32.5,26.7,24.1,79,1,0,1
2023-07-31,무안(699),1,34.2,33.7,28.3,24,79,1,0,4
2023-07-31,과천(590),1,34.4,33.8,28.2,23.8,79,1,0,3
2023-07-31,진주(192),1,34.7,35.1,28,22.7,79,1,0,4
2023-07-31,안동(136),1,33.7,32.9,27.9,23.8,78.6,1,0,4
2023-07-31,수원(119),1,33.2,32.6,27.9,24.3,78.4,1,0,3
2023-07-31,정읍(245),1,34.1,33.7,28,23.1,78.3,1,0,4
2023-07-31,화성(571),1,33.4,32.7,28.1,24.3,78,1,0,3
2023-07-31,홍천(212),1,33.3,33.3,27.4,24,78,1,0,1
2023-07-31,포천(504),1,34.9,34.7,28.4,23.8,78,1,0,3
2023-07-31,예천(815),1,34.2,33.8,28.1,23.7,78,1,0,4
2023-07-31,간성(517),0,31.9,30.8,27.1,23.6,78,1,0,1
2023-07-31,창녕(919),1,34.7,35.1,28.8,22.9,78,1,0,4
2023-07-31,평창(526),1,33.2,33.6,25.7,22.7,78,1,0,1
2023-07-31,홍북(608),0,32.4,32.3,26.7,22.4,78,1,0,3
2023-07-31,청도(813),1,34.2,34.8,27.6,21.8,78,1,0,4
2023-07-31,인천(112),0,32.6,31.5,27.9,25.5,77.9,1,1,4
2023-07-31,통영(162),0,32.8,32.2,28,24,77.8,1,1,4
2023-07-31,남원(247),1,33.9,34.5,27.4,22.3,77.8,1,0,4
2023-07-31,순창군(254),1,34.2,34.8,28.3,22.9,77.5,1,0,4
2023-07-31,대전(133),1,33,32.2,27.8,23.7,77.4,1,0,4
2023-07-31,속초(90),0,32.3,30.6,27.7,25,77,1,0,1
2023-07-31,화순(741),1,34.7,34.6,28.2,22.7,77,1,0,4
2023-07-31,하동(932),1,34.5,34.7,28.3,22.6,77,1,0,4
2023-07-31,산청(289),1,34.3,34.9,28,22.1,77,1,0,4
2023-07-31,의령군(263),1,35.3,35.3,28.5,22.8,76.5,1,0,4
2023-07-31,서울(108),1,34.1,33.4,28.7,25.6,76.3,1,1,3
2023-07-31,아산(634),1,33.3,33.2,28.3,25.1,76,1,0,3
2023-07-31,남양주(541),1,34.7,34.1,28.7,24.1,76,1,0,3
2023-07-31,진천(602),1,33.3,32.9,28,24,76,1,0,3
2023-07-31,양구(556),1,33.5,33.3,27.7,23.7,76,1,0,1
2023-07-31,용인(549),0,32.2,32.5,27.3,23.6,76,1,0,3
2023-07-31,정선군(217),1,35.5,36.3,27.3,23.4,76,1,0,1
2023-07-31,양평(202),1,33.4,33,28.2,25.1,75.9,1,0,4
2023-07-31,서산(129),0,32.8,32.8,28.2,25.1,75.9,1,0,3
2023-07-31,거제(294),1,33.5,33.7,28,23.3,75.9,1,1,4
2023-07-31,전주(146),1,33.6,33.1,28.5,23.7,75.8,1,0,4
2023-07-31,동해(106),0,32.7,32.3,27.8,24.7,75.5,1,0,1
2023-07-31,경주시(283),1,35.3,36.2,28.5,22.6,75.4,1,0,4
2023-07-31,합천(285),1,34,34.3,28,22.2,75.4,1,0,4
2023-07-31,구리(569),1,34,34.2,28.1,24.4,75,1,0,3
2023-07-31,익산(702),1,33,32.8,28.5,23.6,75,1,0,4
